ID,GeneID,geneSymbol,chr,strand,1stExonStart_0base,1stExonEnd,2ndExonStart_0base,2ndExonEnd,upstreamES,upstreamEE,downstreamES,downstreamEE,ID,IJC_SAMPLE_1,SJC_SAMPLE_1,IJC_SAMPLE_2,SJC_SAMPLE_2,IncFormLen,SkipFormLen,PValue,FDR,IncLevel1,IncLevel2,IncLevelDifference,gene
169,ENSG00000101391.20,CDK5RAP1,chr20,-,33372641,33372697,33374114,33374212,33370498,33370629,33379460,33379691,169,92,80,,,150,131,,,0.501,,,ENSG00000101391
170,ENSG00000101391.20,CDK5RAP1,chr20,-,33374114,33374212,33379460,33379691,33372641,33372697,33385649,33385770,170,51,63,,,150,150,,,0.447,,,ENSG00000101391
171,ENSG00000101391.20,CDK5RAP1,chr20,-,33374114,33374212,33379460,33379691,33372641,33372697,33401427,33401478,171,2,64,,,150,150,,,0.03,,,ENSG00000101391
377,ENSG00000105426.16,PTPRS,chr19,-,5229315,5229342,5229490,5229684,5225726,5225844,5231309,5231615,377,21,13,,,150,102,,,0.523,,,ENSG00000105426
545,ENSG00000090905.18,TNRC6A,chr16,+,24815146,24815305,24815354,24815475,24809349,24809481,24816815,24816956,545,129,0,,,150,150,,,1,,,ENSG00000090905
660,ENSG00000103994.16,ZNF106,chr15,-,42448071,42448705,42466052,42466114,42446588,42446658,42472235,42472321,660,10,17,,,137,150,,,0.392,,,ENSG00000103994
697,ENSG00000108799.12,EZH1,chr17,-,42722794,42722915,42724304,42724424,42720272,42720449,42727634,42727763,697,42,70,,,150,150,,,0.375,,,ENSG00000108799
698,ENSG00000108799.12,EZH1,chr17,-,42722794,42722915,42727634,42727763,42720272,42720449,42728824,42728952,698,58,66,,,150,150,,,0.468,,,ENSG00000108799
1101,ENSG00000131626.16,PPFIA1,chr11,+,70349922,70350039,70350993,70351023,70348188,70348420,70354300,70354452,1101,2,51,,,150,105,,,0.027,,,ENSG00000131626
1132,ENSG00000162148.10,PPP1R32,chr11,+,61485798,61485911,61486343,61486403,61485337,61485401,61486523,61486610,1132,41,9,,,150,135,,,0.804,,,ENSG00000162148
1384,ENSG00000143748.17,NVL,chr1,-,224232088,224232182,224232894,224232972,224231225,224231296,224233200,224233289,1384,1,5,,,150,150,,,0.167,,,ENSG00000143748
1860,ENSG00000116171.17,SCP2,chr1,+,52941795,52941853,52948008,52948080,52927285,52927465,52950754,52950886,1860,34,60,,,133,147,,,0.385,,,ENSG00000116171
1861,ENSG00000116171.17,SCP2,chr1,+,52948008,52948080,52950754,52950886,52941795,52941853,52954739,52954804,1861,64,74,,,147,150,,,0.469,,,ENSG00000116171
1862,ENSG00000116171.17,SCP2,chr1,+,52950754,52950886,52954739,52954804,52948008,52948080,52961502,52961629,1862,62,40,,,150,140,,,0.591,,,ENSG00000116171
1863,ENSG00000116171.17,SCP2,chr1,+,52993257,52996000,53014889,53015043,52988028,52988136,53027968,53028071,1863,48,132,,,150,150,,,0.267,,,ENSG00000116171
1864,ENSG00000116171.17,SCP2,chr1,+,53027968,53028071,53038916,53039046,53014965,53015043,53047857,53047937,1864,105,121,,,150,150,,,0.465,,,ENSG00000116171
2714,ENSG00000087903.12,RFX2,chr19,-,6042043,6042123,6044192,6044282,6039979,6040241,6047406,6047504,2714,7,2,,,150,150,,,0.778,,,ENSG00000087903
3326,ENSG00000095794.19,CREM,chr10,+,35148367,35148491,35179133,35179276,35127062,35127193,35188199,35188388,3326,46,7,,,150,150,,,0.868,,,ENSG00000095794
3327,ENSG00000095794.19,CREM,chr10,+,35179133,35179276,35188199,35188388,35148367,35148491,35201450,35201486,3327,3,1,,,150,150,,,0.75,,,ENSG00000095794
3328,ENSG00000095794.19,CREM,chr10,+,35179133,35179276,35188199,35188388,35148367,35148491,35206894,35207051,3328,17,11,,,150,150,,,0.607,,,ENSG00000095794
3329,ENSG00000095794.19,CREM,chr10,+,35188199,35188388,35201450,35201486,35179133,35179276,35206894,35207051,3329,15,11,,,150,111,,,0.502,,,ENSG00000095794
3388,ENSG00000086848.14,ALG9,chr11,-,111853648,111853736,111857601,111857737,111853379,111853485,111860546,111860635,3388,16,18,,,150,150,,,0.471,,,ENSG00000086848
3948,ENSG00000132256.18,TRIM5,chr11,-,5665980,5666081,5667688,5667711,5665655,5665682,5678203,5678434,3948,2,6,,,98,150,,,0.338,,,ENSG00000132256
