ID,GeneID,geneSymbol,chr,strand,longExonStart_0base,longExonEnd,shortES,shortEE,flankingES,flankingEE,ID,IJC_SAMPLE_1,SJC_SAMPLE_1,IJC_SAMPLE_2,SJC_SAMPLE_2,IncFormLen,SkipFormLen,PValue,FDR,IncLevel1,IncLevel2,IncLevelDifference,gene
28,ENSG00000269556.7,TMEM185A,chrX,-,149608626,149608834,149608626,149608829,149611286,149611463,28,38,1,,,80,75,,,0.973,,,ENSG00000269556
175,ENSG00000100109.16,TFIP11,chr22,-,26501899,26502094,26501899,26502052,26503665,26503793,175,0,60,,,117,75,,,0,,,ENSG00000100109
176,ENSG00000100109.16,TFIP11,chr22,-,26510616,26510702,26510616,26510667,26511118,26511195,176,25,0,,,110,75,,,1,,,ENSG00000100109
177,ENSG00000100109.16,TFIP11,chr22,-,26510616,26510692,26510616,26510667,26512098,26512175,177,8,2,,,100,75,,,0.75,,,ENSG00000100109
178,ENSG00000100109.16,TFIP11,chr22,-,26510616,26510702,26510616,26510667,26512098,26512175,178,27,2,,,110,75,,,0.902,,,ENSG00000100109
179,ENSG00000100109.16,TFIP11,chr22,-,26510616,26510702,26510616,26510692,26512098,26512175,179,19,0,,,85,75,,,1,,,ENSG00000100109
180,ENSG00000100109.16,TFIP11,chr22,-,26511118,26511195,26511118,26511153,26512098,26512175,180,9,4,,,117,75,,,0.591,,,ENSG00000100109
181,ENSG00000100109.16,TFIP11,chr22,-,26511118,26511317,26511118,26511153,26512098,26512175,181,14,4,,,150,75,,,0.636,,,ENSG00000100109
182,ENSG00000100109.16,TFIP11,chr22,-,26511118,26511317,26511118,26511195,26512098,26512175,182,10,2,,,150,75,,,0.714,,,ENSG00000100109
349,ENSG00000101391.20,CDK5RAP1,chr20,-,33366858,33367008,33366858,33367005,33370498,33370629,349,136,2,,,78,75,,,0.985,,,ENSG00000101391
1339,ENSG00000213024.11,NUP62,chr19,-,49911104,49911366,49911104,49911343,49927693,49927815,1339,2,0,,,98,75,,,1,,,ENSG00000213024
1340,ENSG00000213024.11,NUP62,chr19,-,49911104,49911366,49911104,49911231,49927693,49927848,1340,4,0,,,150,75,,,1,,,ENSG00000213024
1341,ENSG00000213024.11,NUP62,chr19,-,49927693,49927848,49927693,49927815,49929325,49929465,1341,5,4,,,108,75,,,0.465,,,ENSG00000213024
1398,ENSG00000090905.18,TNRC6A,chr16,+,24805604,24805733,24805673,24805733,24805013,24805151,1398,142,5,,,144,75,,,0.937,,,ENSG00000090905
1487,ENSG00000140983.13,RHOT2,chr16,+,668352,668411,668357,668411,668150,668236,1487,123,23,,,80,75,,,0.834,,,ENSG00000140983
1488,ENSG00000140983.13,RHOT2,chr16,+,668487,668699,668655,668699,668352,668411,1488,206,5,,,150,75,,,0.954,,,ENSG00000140983
1489,ENSG00000140983.13,RHOT2,chr16,+,668487,668699,668658,668699,668352,668411,1489,209,0,,,150,75,,,1,,,ENSG00000140983
1490,ENSG00000140983.13,RHOT2,chr16,+,668655,668699,668658,668699,668352,668411,1490,8,0,,,78,75,,,1,,,ENSG00000140983
1491,ENSG00000140983.13,RHOT2,chr16,+,668655,668699,668658,668699,668487,668569,1491,249,6,,,78,75,,,0.976,,,ENSG00000140983
1492,ENSG00000140983.13,RHOT2,chr16,+,670248,670357,670265,670357,670122,670175,1492,248,40,,,92,75,,,0.835,,,ENSG00000140983
1493,ENSG00000140983.13,RHOT2,chr16,+,670888,671000,670891,671000,670674,670773,1493,26,169,,,78,75,,,0.129,,,ENSG00000140983
1494,ENSG00000140983.13,RHOT2,chr16,+,671082,671203,671114,671203,670891,671000,1494,248,13,,,107,75,,,0.93,,,ENSG00000140983
1708,ENSG00000103994.16,ZNF106,chr15,-,42439032,42439813,42439032,42439552,42442072,42442414,1708,29,4,,,150,75,,,0.784,,,ENSG00000103994
