ID,GeneID,geneSymbol,chr,strand,riExonStart_0base,riExonEnd,upstreamES,upstreamEE,downstreamES,downstreamEE,ID,IJC_SAMPLE_1,SJC_SAMPLE_1,IJC_SAMPLE_2,SJC_SAMPLE_2,IncFormLen,SkipFormLen,PValue,FDR,IncLevel1,IncLevel2,IncLevelDifference,gene
31,ENSG00000269556.7,TMEM185A,chrX,-,149596556,149598255,149596556,149597182,149597260,149598255,31,46,1,,,150,75,,,0.958,,,ENSG00000269556
202,ENSG00000125520.13,SLC2A4RG,chr20,+,63741868,63742230,63741868,63742056,63742129,63742230,202,4,69,,,148,75,,,0.029,,,ENSG00000125520
710,ENSG00000105426.16,PTPRS,chr19,-,5218419,5219467,5218419,5218532,5219309,5219467,710,14,1,,,150,75,,,0.875,,,ENSG00000105426
979,ENSG00000213024.11,NUP62,chr19,-,49908104,49909884,49908104,49908745,49908973,49909884,979,87,5,,,150,75,,,0.897,,,ENSG00000213024
980,ENSG00000213024.11,NUP62,chr19,-,49927693,49929504,49927693,49927815,49929325,49929504,980,31,4,,,150,75,,,0.795,,,ENSG00000213024
981,ENSG00000213024.11,NUP62,chr19,-,49927693,49929504,49927693,49927848,49929325,49929504,981,29,2,,,150,75,,,0.879,,,ENSG00000213024
982,ENSG00000213024.11,NUP62,chr19,-,49927693,49929504,49927693,49927815,49929416,49929504,982,29,2,,,150,75,,,0.879,,,ENSG00000213024
1046,ENSG00000090905.18,TNRC6A,chr16,+,24805013,24805733,24805013,24805151,24805604,24805733,1046,1,64,,,150,75,,,0.008,,,ENSG00000090905
1047,ENSG00000090905.18,TNRC6A,chr16,+,24805013,24805733,24805013,24805151,24805673,24805733,1047,79,5,,,150,75,,,0.888,,,ENSG00000090905
1128,ENSG00000140983.13,RHOT2,chr16,+,668352,668569,668352,668411,668487,668569,1128,44,176,,,150,75,,,0.111,,,ENSG00000140983
1129,ENSG00000140983.13,RHOT2,chr16,+,668352,668699,668352,668411,668655,668699,1129,48,5,,,150,75,,,0.828,,,ENSG00000140983
1130,ENSG00000140983.13,RHOT2,chr16,+,668352,668699,668352,668569,668655,668699,1130,60,246,,,150,75,,,0.109,,,ENSG00000140983
