ID,GeneID,geneSymbol,chr,strand,longExonStart_0base,longExonEnd,shortES,shortEE,flankingES,flankingEE,ID,IJC_SAMPLE_1,SJC_SAMPLE_1,IJC_SAMPLE_2,SJC_SAMPLE_2,IncFormLen,SkipFormLen,PValue,FDR,IncLevel1,IncLevel2,IncLevelDifference,gene
160,ENSG00000125520.13,SLC2A4RG,chr20,+,63742335,63742615,63742335,63742364,63742698,63742790,160,110,0,,,150,75,,,1,,,ENSG00000125520
852,ENSG00000140983.13,RHOT2,chr16,+,668104,668236,668104,668154,668352,668411,852,157,1,,,150,75,,,0.987,,,ENSG00000140983
853,ENSG00000140983.13,RHOT2,chr16,+,668352,668569,668352,668411,668655,668699,853,263,5,,,150,75,,,0.963,,,ENSG00000140983
1009,ENSG00000108799.12,EZH1,chr17,-,42727634,42727763,42727661,42727763,42722794,42722915,1009,28,1,,,102,75,,,0.954,,,ENSG00000108799
1010,ENSG00000108799.12,EZH1,chr17,-,42727634,42727763,42727661,42727763,42724304,42724424,1010,61,1,,,102,75,,,0.978,,,ENSG00000108799
1355,ENSG00000076108.11,BAZ2A,chr12,-,56601179,56601402,56601245,56601402,56600942,56601098,1355,98,0,,,141,75,,,1,,,ENSG00000076108
1618,ENSG00000131626.16,PPFIA1,chr11,+,70338373,70338453,70338373,70338434,70339170,70339306,1618,42,2,,,94,75,,,0.944,,,ENSG00000131626
1619,ENSG00000131626.16,PPFIA1,chr11,+,70339170,70339311,70339170,70339306,70343668,70343892,1619,1,33,,,80,75,,,0.028,,,ENSG00000131626
2062,ENSG00000143748.17,NVL,chr1,-,224313033,224313151,224313049,224313151,224311799,224311857,2062,2,0,,,91,75,,,1,,,ENSG00000143748
2869,ENSG00000076944.15,STXBP2,chr19,+,7647161,7647511,7647161,7647247,7647724,7647873,2869,36,1,,,150,75,,,0.947,,,ENSG00000076944
3743,ENSG00000134262.12,AP4B1,chr1,-,113899903,113900400,113900269,113900400,113898717,113898801,3743,129,1,,,150,75,,,0.985,,,ENSG00000134262
4574,ENSG00000118900.14,UBN1,chr16,+,4860663,4861102,4860663,4860953,4868832,4868903,4574,57,0,,,150,75,,,1,,,ENSG00000118900
4645,ENSG00000140553.17,UNC45A,chr15,+,90934943,90935330,90934943,90935100,90935543,90935705,4645,37,0,,,150,75,,,1,,,ENSG00000140553
4646,ENSG00000140553.17,UNC45A,chr15,+,90935284,90935375,90935284,90935330,90935543,90935705,4646,15,19,,,120,75,,,0.33,,,ENSG00000140553
4677,ENSG00000086848.14,ALG9,chr11,-,111870227,111870370,111870231,111870370,111868601,111868736,4677,1,12,,,79,75,,,0.073,,,ENSG00000086848
