ID,GeneID,geneSymbol,chr,strand,exonStart_0base,exonEnd,upstreamES,upstreamEE,downstreamES,downstreamEE,ID,IJC_SAMPLE_1,SJC_SAMPLE_1,IJC_SAMPLE_2,SJC_SAMPLE_2,IncFormLen,SkipFormLen,PValue,FDR,IncLevel1,IncLevel2,IncLevelDifference,gene
129,ENSG00000269556.7,TMEM185A,chrX,-,149603986,149604070,149600302,149600479,149608626,149608834,129,41,2,,,150,75,,,0.911,,,ENSG00000269556
130,ENSG00000269556.7,TMEM185A,chrX,-,149608626,149608834,149603708,149604070,149611286,149611463,130,50,0,,,150,75,,,1,,,ENSG00000269556
131,ENSG00000269556.7,TMEM185A,chrX,-,149611286,149611463,149608626,149608834,149631542,149631698,131,50,2,,,150,75,,,0.926,,,ENSG00000269556
844,ENSG00000100109.16,TFIP11,chr22,-,26510616,26510692,26510063,26510281,26512098,26512175,844,51,0,,,150,75,,,1,,,ENSG00000100109
845,ENSG00000100109.16,TFIP11,chr22,-,26510616,26510702,26510063,26510281,26512098,26512175,845,74,0,,,150,75,,,1,,,ENSG00000100109
846,ENSG00000100109.16,TFIP11,chr22,-,26511118,26511153,26510616,26510702,26512098,26512175,846,1,23,,,110,75,,,0.029,,,ENSG00000100109
847,ENSG00000100109.16,TFIP11,chr22,-,26511118,26511195,26510616,26510702,26512098,26512175,847,17,23,,,150,75,,,0.27,,,ENSG00000100109
848,ENSG00000100109.16,TFIP11,chr22,-,26511118,26511317,26510616,26510702,26512098,26512175,848,9,23,,,150,75,,,0.164,,,ENSG00000100109
869,ENSG00000100058.12,CRYBB2P1,chr22,+,25519922,25520162,25459415,25459515,25520681,25520854,869,2,3,,,150,75,,,0.25,,,ENSG00000100058
1269,ENSG00000125520.13,SLC2A4RG,chr20,+,63741868,63742056,63741369,63741479,63742129,63742166,1269,289,5,,,150,75,,,0.967,,,ENSG00000125520
1484,ENSG00000101052.12,IFT52,chr20,+,43603759,43603889,43596434,43596522,43604182,43604258,1484,18,1,,,150,75,,,0.9,,,ENSG00000101052
1485,ENSG00000101052.12,IFT52,chr20,+,43604182,43604258,43596434,43596522,43605001,43605073,1485,20,0,,,150,75,,,1,,,ENSG00000101052
1486,ENSG00000101052.12,IFT52,chr20,+,43618242,43618353,43613898,43613976,43618939,43619026,1486,1,7,,,150,75,,,0.067,,,ENSG00000101052
1487,ENSG00000101052.12,IFT52,chr20,+,43642478,43642624,43637144,43637253,43646935,43647222,1487,27,0,,,150,75,,,1,,,ENSG00000101052
