ID,GeneID,geneSymbol,chr,strand,longExonStart_0base,longExonEnd,shortES,shortEE,flankingES,flankingEE,ID,IJC_SAMPLE_1,SJC_SAMPLE_1,IJC_SAMPLE_2,SJC_SAMPLE_2,IncFormLen,SkipFormLen,PValue,FDR,IncLevel1,IncLevel2,IncLevelDifference,gene
149,ENSG00000125520.13,SLC2A4RG,chr20,+,63742335,63742615,63742335,63742364,63742698,63742790,149,360,0,,,150,75,,,1,,,ENSG00000125520
800,ENSG00000140983.13,RHOT2,chr16,+,668104,668236,668104,668154,668352,668411,800,83,0,,,150,75,,,1,,,ENSG00000140983
801,ENSG00000140983.13,RHOT2,chr16,+,668352,668569,668352,668411,668655,668699,801,109,0,,,150,75,,,1,,,ENSG00000140983
953,ENSG00000108799.12,EZH1,chr17,-,42727634,42727763,42727661,42727763,42722794,42722915,953,0,0,,,102,75,,,,,,ENSG00000108799
954,ENSG00000108799.12,EZH1,chr17,-,42727634,42727763,42727661,42727763,42724304,42724424,954,20,0,,,102,75,,,1,,,ENSG00000108799
1276,ENSG00000076108.11,BAZ2A,chr12,-,56601179,56601402,56601245,56601402,56600942,56601098,1276,126,0,,,141,75,,,1,,,ENSG00000076108
1518,ENSG00000131626.16,PPFIA1,chr11,+,70338373,70338453,70338373,70338434,70339170,70339306,1518,58,0,,,94,75,,,1,,,ENSG00000131626
1519,ENSG00000131626.16,PPFIA1,chr11,+,70339170,70339311,70339170,70339306,70343668,70343892,1519,0,14,,,80,75,,,0,,,ENSG00000131626
2715,ENSG00000076944.15,STXBP2,chr19,+,7647161,7647511,7647161,7647247,7647724,7647873,2715,176,0,,,150,75,,,1,,,ENSG00000076944
4311,ENSG00000118900.14,UBN1,chr16,+,4860663,4861102,4860663,4860953,4868832,4868903,4311,54,0,,,150,75,,,1,,,ENSG00000118900
4379,ENSG00000140553.17,UNC45A,chr15,+,90934943,90935330,90934943,90935100,90935543,90935705,4379,19,0,,,150,75,,,1,,,ENSG00000140553
4380,ENSG00000140553.17,UNC45A,chr15,+,90935284,90935375,90935284,90935330,90935543,90935705,4380,10,19,,,120,75,,,0.248,,,ENSG00000140553
4408,ENSG00000086848.14,ALG9,chr11,-,111870227,111870370,111870231,111870370,111868601,111868736,4408,15,31,,,79,75,,,0.315,,,ENSG00000086848
