ID,GeneID,geneSymbol,chr,strand,1stExonStart_0base,1stExonEnd,2ndExonStart_0base,2ndExonEnd,upstreamES,upstreamEE,downstreamES,downstreamEE,ID,IJC_SAMPLE_1,SJC_SAMPLE_1,IJC_SAMPLE_2,SJC_SAMPLE_2,IncFormLen,SkipFormLen,PValue,FDR,IncLevel1,IncLevel2,IncLevelDifference,gene
308,ENSG00000090905.18,TNRC6A,chr16,+,24815146,24815305,24815354,24815475,24809349,24809481,24816815,24816956,308,139,0,,,150,150,,,1,,,ENSG00000090905
394,ENSG00000108799.12,EZH1,chr17,-,42722794,42722915,42724304,42724424,42720272,42720449,42727634,42727763,394,20,3,,,150,150,,,0.87,,,ENSG00000108799
395,ENSG00000108799.12,EZH1,chr17,-,42722794,42722915,42727634,42727763,42720272,42720449,42728824,42728952,395,49,3,,,150,150,,,0.942,,,ENSG00000108799
658,ENSG00000131626.16,PPFIA1,chr11,+,70349922,70350039,70350993,70351023,70348188,70348420,70354300,70354452,658,0,0,,,150,105,,,,,,ENSG00000131626
822,ENSG00000143748.17,NVL,chr1,-,224232088,224232182,224232894,224232972,224231225,224231296,224233200,224233289,822,9,19,,,150,150,,,0.321,,,ENSG00000143748
1153,ENSG00000116171.17,SCP2,chr1,+,52941795,52941853,52948008,52948080,52927285,52927465,52950754,52950886,1153,13,50,,,133,147,,,0.223,,,ENSG00000116171
1154,ENSG00000116171.17,SCP2,chr1,+,52948008,52948080,52950754,52950886,52941795,52941853,52954739,52954804,1154,91,110,,,147,150,,,0.458,,,ENSG00000116171
1155,ENSG00000116171.17,SCP2,chr1,+,53027968,53028071,53038916,53039046,53014965,53015043,53047857,53047937,1155,266,435,,,150,150,,,0.379,,,ENSG00000116171
1634,ENSG00000026950.16,BTN3A1,chr6,+,26411108,26411135,26411554,26411581,26409893,26410032,26413168,26415204,1634,24,20,,,102,102,,,0.545,,,ENSG00000026950
1670,ENSG00000087903.12,RFX2,chr19,-,6042043,6042123,6044192,6044282,6039979,6040241,6047406,6047504,1670,4,6,,,150,150,,,0.4,,,ENSG00000087903
2039,ENSG00000095794.19,CREM,chr10,+,35188199,35188388,35201450,35201486,35179133,35179276,35206894,35207051,2039,11,0,,,150,111,,,1,,,ENSG00000095794
2076,ENSG00000086848.14,ALG9,chr11,-,111853648,111853736,111857601,111857737,111853379,111853485,111860546,111860635,2076,39,96,,,150,150,,,0.289,,,ENSG00000086848
2424,ENSG00000132256.18,TRIM5,chr11,-,5665980,5666081,5667688,5667711,5665655,5665682,5678203,5678434,2424,4,1,,,98,150,,,0.86,,,ENSG00000132256
