ID,GeneID,geneSymbol,chr,strand,1stExonStart_0base,1stExonEnd,2ndExonStart_0base,2ndExonEnd,upstreamES,upstreamEE,downstreamES,downstreamEE,ID,IJC_SAMPLE_1,SJC_SAMPLE_1,IJC_SAMPLE_2,SJC_SAMPLE_2,IncFormLen,SkipFormLen,PValue,FDR,IncLevel1,IncLevel2,IncLevelDifference,gene
110,ENSG00000101391.20,CDK5RAP1,chr20,-,33374114,33374212,33379460,33379691,33370498,33370629,33385649,33385770,110,16,1,,,150,150,,,0.941,,,ENSG00000101391
401,ENSG00000090905.18,TNRC6A,chr16,+,24815146,24815305,24815354,24815475,24809349,24809481,24816815,24816956,401,92,2,,,150,150,,,0.979,,,ENSG00000090905
519,ENSG00000108799.12,EZH1,chr17,-,42722794,42722915,42724304,42724424,42720272,42720449,42727634,42727763,519,64,92,,,150,150,,,0.41,,,ENSG00000108799
520,ENSG00000108799.12,EZH1,chr17,-,42722794,42722915,42727634,42727763,42720272,42720449,42728824,42728952,520,63,83,,,150,150,,,0.432,,,ENSG00000108799
860,ENSG00000131626.16,PPFIA1,chr11,+,70349922,70350039,70350993,70351023,70348188,70348420,70354300,70354452,860,13,5,,,150,105,,,0.645,,,ENSG00000131626
1095,ENSG00000143748.17,NVL,chr1,-,224232088,224232182,224232894,224232972,224231225,224231296,224233200,224233289,1095,0,4,,,150,150,,,0,,,ENSG00000143748
1499,ENSG00000116171.17,SCP2,chr1,+,52941795,52941853,52948008,52948080,52927285,52927465,52950754,52950886,1499,21,47,,,133,147,,,0.331,,,ENSG00000116171
1500,ENSG00000116171.17,SCP2,chr1,+,52948008,52948080,52950754,52950886,52941795,52941853,52954739,52954804,1500,50,41,,,147,150,,,0.554,,,ENSG00000116171
1501,ENSG00000116171.17,SCP2,chr1,+,53027968,53028071,53038916,53039046,53014965,53015043,53047857,53047937,1501,139,143,,,150,150,,,0.493,,,ENSG00000116171
2219,ENSG00000087903.12,RFX2,chr19,-,6042043,6042123,6044192,6044282,6039979,6040241,6047406,6047504,2219,3,3,,,150,150,,,0.5,,,ENSG00000087903
2715,ENSG00000095794.19,CREM,chr10,+,35188199,35188388,35201450,35201486,35179133,35179276,35206894,35207051,2715,4,2,,,150,111,,,0.597,,,ENSG00000095794
2752,ENSG00000140553.17,UNC45A,chr15,+,90944891,90945063,90946613,90946914,90942911,90943082,90947795,90947890,2752,44,54,,,150,150,,,0.449,,,ENSG00000140553
2773,ENSG00000086848.14,ALG9,chr11,-,111853648,111853736,111857601,111857737,111853379,111853485,111860546,111860635,2773,16,26,,,150,150,,,0.381,,,ENSG00000086848
3272,ENSG00000132256.18,TRIM5,chr11,-,5665980,5666081,5667688,5667711,5665655,5665682,5678203,5678434,3272,13,21,,,98,150,,,0.487,,,ENSG00000132256
