ID,GeneID,geneSymbol,chr,strand,riExonStart_0base,riExonEnd,upstreamES,upstreamEE,downstreamES,downstreamEE,ID,IJC_SAMPLE_1,SJC_SAMPLE_1,IJC_SAMPLE_2,SJC_SAMPLE_2,IncFormLen,SkipFormLen,PValue,FDR,IncLevel1,IncLevel2,IncLevelDifference,gene
30,ENSG00000269556.7,TMEM185A,chrX,-,149596556,149598255,149596556,149597182,149597260,149598255,30,24,0,,,150,75,,,1,,,ENSG00000269556
198,ENSG00000125520.13,SLC2A4RG,chr20,+,63741868,63742230,63741868,63742056,63742129,63742230,198,3,126,,,148,75,,,0.012,,,ENSG00000125520
706,ENSG00000105426.16,PTPRS,chr19,-,5218419,5219467,5218419,5218532,5219309,5219467,706,91,6,,,150,75,,,0.883,,,ENSG00000105426
976,ENSG00000213024.11,NUP62,chr19,-,49908104,49909884,49908104,49908745,49908973,49909884,976,51,1,,,150,75,,,0.962,,,ENSG00000213024
977,ENSG00000213024.11,NUP62,chr19,-,49927693,49929504,49927693,49927815,49929325,49929504,977,69,4,,,150,75,,,0.896,,,ENSG00000213024
978,ENSG00000213024.11,NUP62,chr19,-,49927693,49929504,49927693,49927848,49929325,49929504,978,65,4,,,150,75,,,0.89,,,ENSG00000213024
979,ENSG00000213024.11,NUP62,chr19,-,49927693,49929504,49927693,49927815,49929416,49929504,979,28,1,,,150,75,,,0.933,,,ENSG00000213024
980,ENSG00000213024.11,NUP62,chr19,-,49927693,49929504,49927693,49927848,49929416,49929504,980,24,1,,,150,75,,,0.923,,,ENSG00000213024
1044,ENSG00000090905.18,TNRC6A,chr16,+,24805013,24805733,24805013,24805151,24805604,24805733,1044,5,41,,,150,75,,,0.057,,,ENSG00000090905
1045,ENSG00000090905.18,TNRC6A,chr16,+,24805013,24805733,24805013,24805151,24805673,24805733,1045,57,2,,,150,75,,,0.934,,,ENSG00000090905
1126,ENSG00000140983.13,RHOT2,chr16,+,668352,668569,668352,668411,668487,668569,1126,8,97,,,150,75,,,0.04,,,ENSG00000140983
1127,ENSG00000140983.13,RHOT2,chr16,+,668352,668699,668352,668411,668655,668699,1127,9,0,,,150,75,,,1,,,ENSG00000140983
1128,ENSG00000140983.13,RHOT2,chr16,+,668352,668699,668352,668569,668655,668699,1128,10,132,,,150,75,,,0.036,,,ENSG00000140983
1129,ENSG00000140983.13,RHOT2,chr16,+,668352,668699,668352,668411,668658,668699,1129,20,3,,,150,75,,,0.769,,,ENSG00000140983
1130,ENSG00000140983.13,RHOT2,chr16,+,668655,670175,668655,668699,670122,670175,1130,41,22,,,150,75,,,0.482,,,ENSG00000140983
1131,ENSG00000140983.13,RHOT2,chr16,+,669552,670175,669552,669606,670122,670175,1131,63,82,,,150,75,,,0.278,,,ENSG00000140983
1132,ENSG00000140983.13,RHOT2,chr16,+,670122,670357,670122,670175,670248,670357,1132,10,81,,,148,75,,,0.059,,,ENSG00000140983
1133,ENSG00000140983.13,RHOT2,chr16,+,670122,670357,670122,670175,670265,670357,1133,33,22,,,150,75,,,0.429,,,ENSG00000140983
1134,ENSG00000140983.13,RHOT2,chr16,+,670891,671203,670891,671000,671082,671203,1134,144,31,,,150,75,,,0.699,,,ENSG00000140983
1135,ENSG00000140983.13,RHOT2,chr16,+,670891,671203,670891,671000,671114,671203,1135,172,5,,,150,75,,,0.945,,,ENSG00000140983
1136,ENSG00000140983.13,RHOT2,chr16,+,671859,672181,671859,672002,672083,672181,1136,4,151,,,150,75,,,0.013,,,ENSG00000140983
1137,ENSG00000140983.13,RHOT2,chr16,+,672253,672566,672253,672384,672488,672566,1137,28,108,,,150,75,,,0.115,,,ENSG00000140983
1138,ENSG00000140983.13,RHOT2,chr16,+,672253,672825,672253,672566,672702,672825,1138,43,130,,,150,75,,,0.142,,,ENSG00000140983
1677,ENSG00000076108.11,BAZ2A,chr12,-,56604584,56605327,56604584,56604799,56605072,56605327,1677,129,23,,,150,75,,,0.737,,,ENSG00000076108
1678,ENSG00000076108.11,BAZ2A,chr12,-,56615013,56615607,56615013,56615128,56615218,56615607,1678,104,5,,,150,75,,,0.912,,,ENSG00000076108
3150,ENSG00000164692.17,COL1A2,chr7,+,94426422,94427061,94426422,94426530,94427007,94427061,3150,45,289,,,150,75,,,0.072,,,ENSG00000164692
3151,ENSG00000164692.17,COL1A2,chr7,+,94427187,94427885,94427187,94427295,94427626,94427885,3151,126,322,,,150,75,,,0.164,,,ENSG00000164692
3176,ENSG00000076944.15,STXBP2,chr19,+,7642428,7642823,7642428,7642536,7642765,7642823,3176,3,17,,,150,75,,,0.081,,,ENSG00000076944
3177,ENSG00000076944.15,STXBP2,chr19,+,7647161,7647511,7647161,7647247,7647353,7647511,3177,7,18,,,150,75,,,0.163,,,ENSG00000076944
