ID,GeneID,geneSymbol,chr,strand,exonStart_0base,exonEnd,upstreamES,upstreamEE,downstreamES,downstreamEE,ID,IJC_SAMPLE_1,SJC_SAMPLE_1,IJC_SAMPLE_2,SJC_SAMPLE_2,IncFormLen,SkipFormLen,PValue,FDR,IncLevel1,IncLevel2,IncLevelDifference,gene
129,ENSG00000269556.7,TMEM185A,chrX,-,149603986,149604070,149600302,149600479,149608626,149608834,129,63,1,,,150,75,,,0.969,,,ENSG00000269556
130,ENSG00000269556.7,TMEM185A,chrX,-,149608626,149608834,149603708,149604070,149611286,149611463,130,64,3,,,150,75,,,0.914,,,ENSG00000269556
131,ENSG00000269556.7,TMEM185A,chrX,-,149611286,149611463,149608626,149608834,149631542,149631698,131,47,4,,,150,75,,,0.855,,,ENSG00000269556
845,ENSG00000100109.16,TFIP11,chr22,-,26510616,26510692,26510063,26510281,26512098,26512175,845,24,0,,,150,75,,,1,,,ENSG00000100109
846,ENSG00000100109.16,TFIP11,chr22,-,26510616,26510702,26510063,26510281,26512098,26512175,846,34,0,,,150,75,,,1,,,ENSG00000100109
847,ENSG00000100109.16,TFIP11,chr22,-,26511118,26511153,26510616,26510702,26512098,26512175,847,1,10,,,110,75,,,0.064,,,ENSG00000100109
848,ENSG00000100109.16,TFIP11,chr22,-,26511118,26511195,26510616,26510702,26512098,26512175,848,5,10,,,150,75,,,0.2,,,ENSG00000100109
849,ENSG00000100109.16,TFIP11,chr22,-,26511118,26511317,26510616,26510702,26512098,26512175,849,4,10,,,150,75,,,0.167,,,ENSG00000100109
870,ENSG00000100058.12,CRYBB2P1,chr22,+,25519922,25520162,25459415,25459515,25520681,25520854,870,1,5,,,150,75,,,0.091,,,ENSG00000100058
1274,ENSG00000125520.13,SLC2A4RG,chr20,+,63741868,63742056,63741369,63741479,63742129,63742166,1274,224,0,,,150,75,,,1,,,ENSG00000125520
1492,ENSG00000101052.12,IFT52,chr20,+,43605001,43605073,43604182,43604258,43613849,43613976,1492,84,4,,,147,75,,,0.915,,,ENSG00000101052
1493,ENSG00000101052.12,IFT52,chr20,+,43605001,43605216,43604182,43604258,43613849,43613976,1493,46,4,,,150,75,,,0.852,,,ENSG00000101052
1494,ENSG00000101052.12,IFT52,chr20,+,43618242,43618353,43613898,43613976,43618939,43619026,1494,9,48,,,150,75,,,0.086,,,ENSG00000101052
1495,ENSG00000101052.12,IFT52,chr20,+,43618939,43619026,43613849,43613976,43620856,43620925,1495,104,1,,,150,75,,,0.981,,,ENSG00000101052
1496,ENSG00000101052.12,IFT52,chr20,+,43642478,43642624,43637144,43637253,43646935,43647222,1496,155,1,,,150,75,,,0.987,,,ENSG00000101052
1670,ENSG00000101391.20,CDK5RAP1,chr20,-,33360350,33360491,33358838,33359123,33366858,33367005,1670,121,1,,,150,75,,,0.984,,,ENSG00000101391
1671,ENSG00000101391.20,CDK5RAP1,chr20,-,33372641,33372697,33370498,33370629,33374114,33374212,1671,44,1,,,131,75,,,0.962,,,ENSG00000101391
1672,ENSG00000101391.20,CDK5RAP1,chr20,-,33374114,33374212,33370498,33370629,33379460,33379691,1672,37,1,,,150,75,,,0.949,,,ENSG00000101391
1673,ENSG00000101391.20,CDK5RAP1,chr20,-,33374114,33374212,33370498,33370629,33385649,33385770,1673,1,0,,,150,75,,,1,,,ENSG00000101391
1674,ENSG00000101391.20,CDK5RAP1,chr20,-,33379460,33379691,33370498,33370629,33385649,33385770,1674,16,0,,,150,75,,,1,,,ENSG00000101391
1675,ENSG00000101391.20,CDK5RAP1,chr20,-,33379460,33379691,33374114,33374212,33385649,33385770,1675,51,0,,,150,75,,,1,,,ENSG00000101391
1676,ENSG00000101391.20,CDK5RAP1,chr20,-,33383479,33383521,33379460,33379691,33385649,33385770,1676,1,15,,,117,75,,,0.041,,,ENSG00000101391
1677,ENSG00000101391.20,CDK5RAP1,chr20,-,33387322,33387533,33385649,33385770,33392141,33392242,1677,39,3,,,150,75,,,0.867,,,ENSG00000101391
1678,ENSG00000101391.20,CDK5RAP1,chr20,-,33394031,33394066,33392141,33392242,33401427,33401479,1678,12,0,,,110,75,,,1,,,ENSG00000101391
