ID,GeneID,geneSymbol,chr,strand,longExonStart_0base,longExonEnd,shortES,shortEE,flankingES,flankingEE,ID,IJC_SAMPLE_1,SJC_SAMPLE_1,IJC_SAMPLE_2,SJC_SAMPLE_2,IncFormLen,SkipFormLen,PValue,FDR,IncLevel1,IncLevel2,IncLevelDifference,gene
154,ENSG00000125520.13,SLC2A4RG,chr20,+,63742335,63742615,63742335,63742364,63742698,63742790,154,168,0,,,150,75,,,1,,,ENSG00000125520
186,ENSG00000101052.12,IFT52,chr20,+,43605001,43605216,43605001,43605073,43613849,43613976,186,4,41,,,150,75,,,0.047,,,ENSG00000101052
735,ENSG00000213024.11,NUP62,chr19,-,49929325,49929504,49929416,49929504,49927693,49927848,735,20,1,,,150,75,,,0.909,,,ENSG00000213024
829,ENSG00000140983.13,RHOT2,chr16,+,668104,668236,668104,668154,668352,668411,829,61,5,,,150,75,,,0.859,,,ENSG00000140983
830,ENSG00000140983.13,RHOT2,chr16,+,668352,668569,668352,668411,668655,668699,830,135,0,,,150,75,,,1,,,ENSG00000140983
989,ENSG00000108799.12,EZH1,chr17,-,42727634,42727763,42727661,42727763,42722794,42722915,989,35,0,,,102,75,,,1,,,ENSG00000108799
990,ENSG00000108799.12,EZH1,chr17,-,42727634,42727763,42727661,42727763,42724304,42724424,990,89,1,,,102,75,,,0.985,,,ENSG00000108799
1327,ENSG00000076108.11,BAZ2A,chr12,-,56601179,56601402,56601245,56601402,56600942,56601098,1327,195,0,,,141,75,,,1,,,ENSG00000076108
1579,ENSG00000131626.16,PPFIA1,chr11,+,70338373,70338453,70338373,70338434,70339170,70339306,1579,58,6,,,94,75,,,0.885,,,ENSG00000131626
1580,ENSG00000131626.16,PPFIA1,chr11,+,70339170,70339311,70339170,70339306,70343668,70343892,1580,1,38,,,80,75,,,0.024,,,ENSG00000131626
2826,ENSG00000076944.15,STXBP2,chr19,+,7647161,7647511,7647161,7647247,7647724,7647873,2826,21,0,,,150,75,,,1,,,ENSG00000076944
3687,ENSG00000134262.12,AP4B1,chr1,-,113899903,113900400,113900269,113900400,113898717,113898801,3687,59,1,,,150,75,,,0.967,,,ENSG00000134262
4505,ENSG00000118900.14,UBN1,chr16,+,4860663,4861102,4860663,4860953,4868832,4868903,4505,35,0,,,150,75,,,1,,,ENSG00000118900
4573,ENSG00000140553.17,UNC45A,chr15,+,90934943,90935330,90934943,90935100,90935543,90935705,4573,21,0,,,150,75,,,1,,,ENSG00000140553
4574,ENSG00000140553.17,UNC45A,chr15,+,90935284,90935375,90935284,90935330,90935543,90935705,4574,20,19,,,120,75,,,0.397,,,ENSG00000140553
4604,ENSG00000086848.14,ALG9,chr11,-,111870227,111870370,111870231,111870370,111868601,111868736,4604,1,11,,,79,75,,,0.079,,,ENSG00000086848
