ID,GeneID,geneSymbol,chr,strand,longExonStart_0base,longExonEnd,shortES,shortEE,flankingES,flankingEE,ID,IJC_SAMPLE_1,SJC_SAMPLE_1,IJC_SAMPLE_2,SJC_SAMPLE_2,IncFormLen,SkipFormLen,PValue,FDR,IncLevel1,IncLevel2,IncLevelDifference,gene
156,ENSG00000125520.13,SLC2A4RG,chr20,+,63742335,63742615,63742335,63742364,63742698,63742790,156,421,0,,,150,75,,,1,,,ENSG00000125520
186,ENSG00000101052.12,IFT52,chr20,+,43605001,43605216,43605001,43605073,43613849,43613976,186,3,55,,,150,75,,,0.027,,,ENSG00000101052
826,ENSG00000140983.13,RHOT2,chr16,+,668104,668236,668104,668154,668352,668411,826,125,1,,,150,75,,,0.984,,,ENSG00000140983
827,ENSG00000140983.13,RHOT2,chr16,+,668352,668569,668352,668411,668655,668699,827,134,2,,,150,75,,,0.971,,,ENSG00000140983
984,ENSG00000108799.12,EZH1,chr17,-,42727634,42727763,42727661,42727763,42722794,42722915,984,23,0,,,102,75,,,1,,,ENSG00000108799
985,ENSG00000108799.12,EZH1,chr17,-,42727634,42727763,42727661,42727763,42724304,42724424,985,57,3,,,102,75,,,0.933,,,ENSG00000108799
1313,ENSG00000076108.11,BAZ2A,chr12,-,56601179,56601402,56601245,56601402,56600942,56601098,1313,98,0,,,141,75,,,1,,,ENSG00000076108
1571,ENSG00000131626.16,PPFIA1,chr11,+,70338373,70338453,70338373,70338434,70339170,70339306,1571,20,1,,,94,75,,,0.941,,,ENSG00000131626
1572,ENSG00000131626.16,PPFIA1,chr11,+,70339170,70339311,70339170,70339306,70343668,70343892,1572,0,8,,,80,75,,,0,,,ENSG00000131626
2812,ENSG00000076944.15,STXBP2,chr19,+,7647161,7647511,7647161,7647247,7647724,7647873,2812,21,0,,,150,75,,,1,,,ENSG00000076944
4488,ENSG00000118900.14,UBN1,chr16,+,4860663,4861102,4860663,4860953,4868832,4868903,4488,19,0,,,150,75,,,1,,,ENSG00000118900
4558,ENSG00000140553.17,UNC45A,chr15,+,90934943,90935330,90934943,90935100,90935543,90935705,4558,23,0,,,150,75,,,1,,,ENSG00000140553
4559,ENSG00000140553.17,UNC45A,chr15,+,90935284,90935375,90935284,90935330,90935543,90935705,4559,30,21,,,120,75,,,0.472,,,ENSG00000140553
4587,ENSG00000086848.14,ALG9,chr11,-,111870227,111870370,111870231,111870370,111868601,111868736,4587,1,12,,,79,75,,,0.073,,,ENSG00000086848
