ID,GeneID,geneSymbol,chr,strand,1stExonStart_0base,1stExonEnd,2ndExonStart_0base,2ndExonEnd,upstreamES,upstreamEE,downstreamES,downstreamEE,ID,IJC_SAMPLE_1,SJC_SAMPLE_1,IJC_SAMPLE_2,SJC_SAMPLE_2,IncFormLen,SkipFormLen,PValue,FDR,IncLevel1,IncLevel2,IncLevelDifference,gene
117,ENSG00000101391.20,CDK5RAP1,chr20,-,33372641,33372697,33374114,33374212,33370498,33370629,33379460,33379691,117,29,32,,,150,131,,,0.442,,,ENSG00000101391
118,ENSG00000101391.20,CDK5RAP1,chr20,-,33374114,33374212,33379460,33379691,33370498,33370629,33385649,33385770,118,20,3,,,150,150,,,0.87,,,ENSG00000101391
119,ENSG00000101391.20,CDK5RAP1,chr20,-,33374114,33374212,33379460,33379691,33372641,33372697,33385649,33385770,119,20,23,,,150,150,,,0.465,,,ENSG00000101391
401,ENSG00000090905.18,TNRC6A,chr16,+,24815146,24815305,24815354,24815475,24809349,24809481,24816815,24816956,401,117,0,,,150,150,,,1,,,ENSG00000090905
514,ENSG00000108799.12,EZH1,chr17,-,42722794,42722915,42724304,42724424,42720272,42720449,42727634,42727763,514,39,63,,,150,150,,,0.382,,,ENSG00000108799
515,ENSG00000108799.12,EZH1,chr17,-,42722794,42722915,42727634,42727763,42720272,42720449,42728824,42728952,515,43,58,,,150,150,,,0.426,,,ENSG00000108799
835,ENSG00000131626.16,PPFIA1,chr11,+,70349922,70350039,70350993,70351023,70348188,70348420,70354300,70354452,835,11,0,,,150,105,,,1,,,ENSG00000131626
941,ENSG00000018189.12,RUFY3,chr4,+,70800140,70800205,70802955,70802983,70794672,70794894,70804347,70804416,941,23,22,,,140,103,,,0.435,,,ENSG00000018189
1048,ENSG00000143748.17,NVL,chr1,-,224232088,224232182,224232894,224232972,224231225,224231296,224233200,224233289,1048,0,6,,,150,150,,,0,,,ENSG00000143748
1049,ENSG00000143748.17,NVL,chr1,-,224233200,224233289,224236505,224236582,224231225,224231296,224250211,224250318,1049,41,47,,,150,150,,,0.466,,,ENSG00000143748
1444,ENSG00000116171.17,SCP2,chr1,+,52941795,52941853,52948008,52948080,52927285,52927465,52950754,52950886,1444,26,37,,,133,147,,,0.437,,,ENSG00000116171
1445,ENSG00000116171.17,SCP2,chr1,+,52948008,52948080,52950754,52950886,52941795,52941853,52954739,52954804,1445,46,32,,,147,150,,,0.595,,,ENSG00000116171
1446,ENSG00000116171.17,SCP2,chr1,+,53027968,53028071,53038916,53039046,53014965,53015043,53047857,53047937,1446,170,245,,,150,150,,,0.41,,,ENSG00000116171
2100,ENSG00000134262.12,AP4B1,chr1,-,113896257,113896465,113897839,113897943,113895756,113896038,113898717,113898801,2100,41,41,,,150,150,,,0.5,,,ENSG00000134262
2143,ENSG00000087903.12,RFX2,chr19,-,6042043,6042123,6044192,6044282,6039979,6040241,6047406,6047504,2143,18,27,,,150,150,,,0.4,,,ENSG00000087903
2607,ENSG00000095794.19,CREM,chr10,+,35188199,35188388,35201450,35201486,35179133,35179276,35206894,35207051,2607,2,2,,,150,111,,,0.425,,,ENSG00000095794
2649,ENSG00000086848.14,ALG9,chr11,-,111853648,111853736,111857601,111857737,111853379,111853485,111860546,111860635,2649,21,19,,,150,150,,,0.525,,,ENSG00000086848
3100,ENSG00000132256.18,TRIM5,chr11,-,5665980,5666081,5667688,5667711,5665655,5665682,5678203,5678434,3100,2,24,,,98,150,,,0.113,,,ENSG00000132256
