ID,GeneID,geneSymbol,chr,strand,riExonStart_0base,riExonEnd,upstreamES,upstreamEE,downstreamES,downstreamEE,ID,IJC_SAMPLE_1,SJC_SAMPLE_1,IJC_SAMPLE_2,SJC_SAMPLE_2,IncFormLen,SkipFormLen,PValue,FDR,IncLevel1,IncLevel2,IncLevelDifference,gene
30,ENSG00000269556.7,TMEM185A,chrX,-,149596556,149598255,149596556,149597182,149597260,149598255,30,9,1,,,150,75,,,0.818,,,ENSG00000269556
194,ENSG00000125520.13,SLC2A4RG,chr20,+,63741868,63742230,63741868,63742056,63742129,63742230,194,13,188,,,148,75,,,0.034,,,ENSG00000125520
702,ENSG00000105426.16,PTPRS,chr19,-,5218419,5219467,5218419,5218532,5219309,5219467,702,10,10,,,150,75,,,0.333,,,ENSG00000105426
970,ENSG00000213024.11,NUP62,chr19,-,49908104,49909884,49908104,49908745,49908973,49909884,970,59,1,,,150,75,,,0.967,,,ENSG00000213024
971,ENSG00000213024.11,NUP62,chr19,-,49927693,49929504,49927693,49927815,49929325,49929504,971,69,13,,,150,75,,,0.726,,,ENSG00000213024
972,ENSG00000213024.11,NUP62,chr19,-,49927693,49929504,49927693,49927848,49929325,49929504,972,65,4,,,150,75,,,0.89,,,ENSG00000213024
973,ENSG00000213024.11,NUP62,chr19,-,49927693,49929504,49927693,49927815,49929416,49929504,973,40,1,,,150,75,,,0.952,,,ENSG00000213024
1038,ENSG00000090905.18,TNRC6A,chr16,+,24805013,24805733,24805013,24805151,24805604,24805733,1038,0,50,,,150,75,,,0,,,ENSG00000090905
1039,ENSG00000090905.18,TNRC6A,chr16,+,24805013,24805733,24805013,24805151,24805673,24805733,1039,70,6,,,150,75,,,0.854,,,ENSG00000090905
1118,ENSG00000140983.13,RHOT2,chr16,+,668352,668569,668352,668411,668487,668569,1118,32,65,,,150,75,,,0.198,,,ENSG00000140983
1119,ENSG00000140983.13,RHOT2,chr16,+,668352,668699,668352,668411,668655,668699,1119,24,2,,,150,75,,,0.857,,,ENSG00000140983
1120,ENSG00000140983.13,RHOT2,chr16,+,668352,668699,668352,668569,668655,668699,1120,21,97,,,150,75,,,0.098,,,ENSG00000140983
1121,ENSG00000140983.13,RHOT2,chr16,+,668352,668699,668352,668411,668658,668699,1121,26,2,,,150,75,,,0.867,,,ENSG00000140983
1122,ENSG00000140983.13,RHOT2,chr16,+,668655,670175,668655,668699,670122,670175,1122,33,7,,,150,75,,,0.702,,,ENSG00000140983
1123,ENSG00000140983.13,RHOT2,chr16,+,669552,670175,669552,669606,670122,670175,1123,34,98,,,150,75,,,0.148,,,ENSG00000140983
1124,ENSG00000140983.13,RHOT2,chr16,+,670122,670357,670122,670175,670248,670357,1124,9,95,,,148,75,,,0.046,,,ENSG00000140983
1125,ENSG00000140983.13,RHOT2,chr16,+,670122,670357,670122,670175,670265,670357,1125,26,17,,,150,75,,,0.433,,,ENSG00000140983
1126,ENSG00000140983.13,RHOT2,chr16,+,670891,671203,670891,671000,671082,671203,1126,149,37,,,150,75,,,0.668,,,ENSG00000140983
1127,ENSG00000140983.13,RHOT2,chr16,+,670891,671203,670891,671000,671114,671203,1127,190,7,,,150,75,,,0.931,,,ENSG00000140983
1128,ENSG00000140983.13,RHOT2,chr16,+,671859,672181,671859,672002,672083,672181,1128,17,146,,,150,75,,,0.055,,,ENSG00000140983
1129,ENSG00000140983.13,RHOT2,chr16,+,672253,672566,672253,672384,672488,672566,1129,35,144,,,150,75,,,0.108,,,ENSG00000140983
1130,ENSG00000140983.13,RHOT2,chr16,+,672253,672825,672253,672566,672702,672825,1130,15,117,,,150,75,,,0.06,,,ENSG00000140983
1671,ENSG00000076108.11,BAZ2A,chr12,-,56604584,56605327,56604584,56604799,56605072,56605327,1671,41,20,,,150,75,,,0.506,,,ENSG00000076108
1672,ENSG00000076108.11,BAZ2A,chr12,-,56615013,56615607,56615013,56615128,56615218,56615607,1672,48,0,,,150,75,,,1,,,ENSG00000076108
3149,ENSG00000164692.17,COL1A2,chr7,+,94426422,94427061,94426422,94426530,94427007,94427061,3149,144,2796,,,150,75,,,0.025,,,ENSG00000164692
3150,ENSG00000164692.17,COL1A2,chr7,+,94427187,94427885,94427187,94427295,94427626,94427885,3150,217,2971,,,150,75,,,0.035,,,ENSG00000164692
3175,ENSG00000076944.15,STXBP2,chr19,+,7642428,7642823,7642428,7642536,7642765,7642823,3175,2,26,,,150,75,,,0.037,,,ENSG00000076944
3176,ENSG00000076944.15,STXBP2,chr19,+,7647161,7647511,7647161,7647247,7647353,7647511,3176,7,20,,,150,75,,,0.149,,,ENSG00000076944
3559,ENSG00000158286.12,RNF207,chr1,+,6209267,6209539,6209267,6209343,6209413,6209539,3559,0,8,,,145,75,,,0,,,ENSG00000158286
3560,ENSG00000158286.12,RNF207,chr1,+,6212681,6213183,6212681,6212733,6213065,6213183,3560,1,5,,,150,75,,,0.091,,,ENSG00000158286
3942,ENSG00000117632.22,STMN1,chr1,-,25901490,25903813,25901490,25901682,25903640,25903813,3942,4,78,,,150,75,,,0.025,,,ENSG00000117632
3989,ENSG00000135829.16,DHX9,chr1,+,182883138,182883368,182883138,182883216,182883319,182883368,3989,227,4,,,150,75,,,0.966,,,ENSG00000135829
4046,ENSG00000026950.16,BTN3A1,chr6,+,26409893,26410032,26409893,26409914,26410005,26410032,4046,5,15,,,150,75,,,0.143,,,ENSG00000026950
4544,ENSG00000111801.15,BTN3A3,chr6,+,26443956,26445985,26443956,26444304,26445703,26445985,4544,10,5,,,150,75,,,0.5,,,ENSG00000111801
4545,ENSG00000111801.15,BTN3A3,chr6,+,26448247,26448754,26448247,26448448,26448727,26448754,4545,7,1,,,150,75,,,0.778,,,ENSG00000111801
5026,ENSG00000140553.17,UNC45A,chr15,+,90935945,90936460,90935945,90935982,90936136,90936460,5026,2,5,,,150,75,,,0.167,,,ENSG00000140553
