ID,GeneID,geneSymbol,chr,strand,longExonStart_0base,longExonEnd,shortES,shortEE,flankingES,flankingEE,ID,IJC_SAMPLE_1,SJC_SAMPLE_1,IJC_SAMPLE_2,SJC_SAMPLE_2,IncFormLen,SkipFormLen,PValue,FDR,IncLevel1,IncLevel2,IncLevelDifference,gene
151,ENSG00000125520.13,SLC2A4RG,chr20,+,63742335,63742615,63742335,63742364,63742698,63742790,151,314,0,,,150,75,,,1,,,ENSG00000125520
822,ENSG00000140983.13,RHOT2,chr16,+,668104,668236,668104,668154,668352,668411,822,97,1,,,150,75,,,0.98,,,ENSG00000140983
823,ENSG00000140983.13,RHOT2,chr16,+,668352,668569,668352,668411,668655,668699,823,110,2,,,150,75,,,0.965,,,ENSG00000140983
983,ENSG00000108799.12,EZH1,chr17,-,42727634,42727763,42727661,42727763,42722794,42722915,983,19,0,,,102,75,,,1,,,ENSG00000108799
984,ENSG00000108799.12,EZH1,chr17,-,42727634,42727763,42727661,42727763,42724304,42724424,984,42,0,,,102,75,,,1,,,ENSG00000108799
1316,ENSG00000076108.11,BAZ2A,chr12,-,56601179,56601402,56601245,56601402,56600942,56601098,1316,110,2,,,141,75,,,0.967,,,ENSG00000076108
1575,ENSG00000131626.16,PPFIA1,chr11,+,70338373,70338453,70338373,70338434,70339170,70339306,1575,42,0,,,94,75,,,1,,,ENSG00000131626
1576,ENSG00000131626.16,PPFIA1,chr11,+,70339170,70339311,70339170,70339306,70343668,70343892,1576,0,35,,,80,75,,,0,,,ENSG00000131626
2820,ENSG00000076944.15,STXBP2,chr19,+,7647161,7647511,7647161,7647247,7647724,7647873,2820,19,0,,,150,75,,,1,,,ENSG00000076944
4502,ENSG00000118900.14,UBN1,chr16,+,4860663,4861102,4860663,4860953,4868832,4868903,4502,44,0,,,150,75,,,1,,,ENSG00000118900
4573,ENSG00000140553.17,UNC45A,chr15,+,90934943,90935330,90934943,90935100,90935543,90935705,4573,36,0,,,150,75,,,1,,,ENSG00000140553
4574,ENSG00000140553.17,UNC45A,chr15,+,90935284,90935375,90935284,90935330,90935543,90935705,4574,25,36,,,120,75,,,0.303,,,ENSG00000140553
4604,ENSG00000086848.14,ALG9,chr11,-,111870227,111870370,111870231,111870370,111868601,111868736,4604,0,21,,,79,75,,,0,,,ENSG00000086848
