ID,GeneID,geneSymbol,chr,strand,exonStart_0base,exonEnd,upstreamES,upstreamEE,downstreamES,downstreamEE,ID,IJC_SAMPLE_1,SJC_SAMPLE_1,IJC_SAMPLE_2,SJC_SAMPLE_2,IncFormLen,SkipFormLen,PValue,FDR,IncLevel1,IncLevel2,IncLevelDifference,gene
131,ENSG00000269556.7,TMEM185A,chrX,-,149603986,149604070,149600302,149600479,149608626,149608834,131,61,0,,,150,75,,,1,,,ENSG00000269556
132,ENSG00000269556.7,TMEM185A,chrX,-,149608626,149608834,149603708,149604070,149611286,149611463,132,83,0,,,150,75,,,1,,,ENSG00000269556
133,ENSG00000269556.7,TMEM185A,chrX,-,149611286,149611463,149608626,149608834,149631542,149631698,133,93,4,,,150,75,,,0.921,,,ENSG00000269556
867,ENSG00000100109.16,TFIP11,chr22,-,26510616,26510692,26510063,26510281,26512098,26512175,867,23,0,,,150,75,,,1,,,ENSG00000100109
868,ENSG00000100109.16,TFIP11,chr22,-,26510616,26510702,26510063,26510281,26512098,26512175,868,34,0,,,150,75,,,1,,,ENSG00000100109
869,ENSG00000100109.16,TFIP11,chr22,-,26511118,26511153,26510616,26510702,26512098,26512175,869,2,11,,,110,75,,,0.11,,,ENSG00000100109
870,ENSG00000100109.16,TFIP11,chr22,-,26511118,26511195,26510616,26510702,26512098,26512175,870,5,11,,,150,75,,,0.185,,,ENSG00000100109
871,ENSG00000100109.16,TFIP11,chr22,-,26511118,26511317,26510616,26510702,26512098,26512175,871,3,11,,,150,75,,,0.12,,,ENSG00000100109
899,ENSG00000100058.12,CRYBB2P1,chr22,+,25519922,25520162,25459415,25459515,25520681,25520854,899,6,7,,,150,75,,,0.3,,,ENSG00000100058
1327,ENSG00000125520.13,SLC2A4RG,chr20,+,63741868,63742056,63741369,63741479,63742129,63742166,1327,335,1,,,150,75,,,0.994,,,ENSG00000125520
1557,ENSG00000101052.12,IFT52,chr20,+,43618242,43618353,43613898,43613976,43618939,43619026,1557,7,55,,,150,75,,,0.06,,,ENSG00000101052
1558,ENSG00000101052.12,IFT52,chr20,+,43620856,43620925,43618939,43619026,43623890,43624045,1558,178,1,,,144,75,,,0.989,,,ENSG00000101052
1559,ENSG00000101052.12,IFT52,chr20,+,43642478,43642624,43637144,43637253,43646935,43647222,1559,215,0,,,150,75,,,1,,,ENSG00000101052
1746,ENSG00000101391.20,CDK5RAP1,chr20,-,33372641,33372697,33370498,33370629,33374114,33374212,1746,48,3,,,131,75,,,0.902,,,ENSG00000101391
1747,ENSG00000101391.20,CDK5RAP1,chr20,-,33374114,33374212,33370498,33370629,33385649,33385770,1747,3,0,,,150,75,,,1,,,ENSG00000101391
1748,ENSG00000101391.20,CDK5RAP1,chr20,-,33379460,33379691,33374114,33374212,33385649,33385770,1748,39,0,,,150,75,,,1,,,ENSG00000101391
1749,ENSG00000101391.20,CDK5RAP1,chr20,-,33383479,33383521,33379460,33379691,33385649,33385770,1749,1,16,,,117,75,,,0.039,,,ENSG00000101391
1750,ENSG00000101391.20,CDK5RAP1,chr20,-,33387322,33387533,33385649,33385770,33392141,33392242,1750,47,0,,,150,75,,,1,,,ENSG00000101391
1751,ENSG00000101391.20,CDK5RAP1,chr20,-,33394031,33394066,33392141,33392242,33401427,33401479,1751,4,0,,,110,75,,,1,,,ENSG00000101391
1752,ENSG00000101391.20,CDK5RAP1,chr20,-,33395012,33395116,33394031,33394066,33401427,33401505,1752,9,0,,,150,75,,,1,,,ENSG00000101391
1753,ENSG00000101391.20,CDK5RAP1,chr20,-,33396760,33396936,33395012,33395116,33401427,33401517,1753,9,0,,,150,75,,,1,,,ENSG00000101391
1754,ENSG00000101391.20,CDK5RAP1,chr20,-,33396760,33397084,33395012,33395116,33401427,33401561,1754,18,0,,,150,75,,,1,,,ENSG00000101391
4489,ENSG00000105426.16,PTPRS,chr19,-,5216719,5216767,5215497,5215595,5218419,5218532,4489,53,43,,,123,75,,,0.429,,,ENSG00000105426
4490,ENSG00000105426.16,PTPRS,chr19,-,5218786,5218798,5218419,5218532,5219309,5219467,4490,71,10,,,87,75,,,0.86,,,ENSG00000105426
4491,ENSG00000105426.16,PTPRS,chr19,-,5229315,5229342,5225726,5225844,5229490,5229684,4491,0,13,,,102,75,,,0,,,ENSG00000105426
4492,ENSG00000105426.16,PTPRS,chr19,-,5256107,5256119,5245775,5246045,5258016,5258127,4492,0,22,,,87,75,,,0,,,ENSG00000105426
6336,ENSG00000213024.11,NUP62,chr19,-,49911104,49911343,49909854,49909884,49927693,49927815,6336,0,31,,,150,75,,,0,,,ENSG00000213024
6337,ENSG00000213024.11,NUP62,chr19,-,49911104,49911366,49909580,49909884,49927693,49927815,6337,0,31,,,150,75,,,0,,,ENSG00000213024
6338,ENSG00000213024.11,NUP62,chr19,-,49911104,49911366,49909580,49909884,49929325,49929504,6338,0,8,,,150,75,,,0,,,ENSG00000213024
6339,ENSG00000213024.11,NUP62,chr19,-,49911104,49911370,49909736,49909884,49929325,49929475,6339,0,8,,,150,75,,,0,,,ENSG00000213024
6340,ENSG00000213024.11,NUP62,chr19,-,49912898,49913159,49911060,49911366,49917607,49917641,6340,0,0,,,150,75,,,,,,ENSG00000213024
6341,ENSG00000213024.11,NUP62,chr19,-,49912898,49913159,49911060,49911366,49927693,49927815,6341,0,0,,,150,75,,,,,,ENSG00000213024
6342,ENSG00000213024.11,NUP62,chr19,-,49918507,49918621,49909394,49909884,49927693,49927815,6342,0,31,,,150,75,,,0,,,ENSG00000213024
6343,ENSG00000213024.11,NUP62,chr19,-,49918507,49918621,49909394,49909884,49929416,49929504,6343,0,3,,,150,75,,,0,,,ENSG00000213024
6344,ENSG00000213024.11,NUP62,chr19,-,49927693,49927815,49907542,49909884,49929325,49929429,6344,44,8,,,150,75,,,0.733,,,ENSG00000213024
6345,ENSG00000213024.11,NUP62,chr19,-,49927693,49927815,49907542,49909884,49929416,49929504,6345,32,3,,,150,75,,,0.842,,,ENSG00000213024
6346,ENSG00000213024.11,NUP62,chr19,-,49927693,49927815,49911104,49911366,49929325,49929429,6346,13,0,,,150,75,,,1,,,ENSG00000213024
6347,ENSG00000213024.11,NUP62,chr19,-,49927693,49927815,49918507,49918621,49929349,49929763,6347,0,0,,,150,75,,,,,,ENSG00000213024
6348,ENSG00000213024.11,NUP62,chr19,-,49927693,49927815,49918507,49918621,49929416,49929504,6348,1,0,,,150,75,,,1,,,ENSG00000213024
