ID,GeneID,geneSymbol,chr,strand,longExonStart_0base,longExonEnd,shortES,shortEE,flankingES,flankingEE,ID,IJC_SAMPLE_1,SJC_SAMPLE_1,IJC_SAMPLE_2,SJC_SAMPLE_2,IncFormLen,SkipFormLen,PValue,FDR,IncLevel1,IncLevel2,IncLevelDifference,gene
154,ENSG00000125520.13,SLC2A4RG,chr20,+,63742335,63742615,63742335,63742364,63742698,63742790,154,352,0,,,150,75,,,1,,,ENSG00000125520
185,ENSG00000101052.12,IFT52,chr20,+,43605001,43605216,43605001,43605073,43613849,43613976,185,4,47,,,150,75,,,0.041,,,ENSG00000101052
830,ENSG00000140983.13,RHOT2,chr16,+,668104,668236,668104,668154,668352,668411,830,120,0,,,150,75,,,1,,,ENSG00000140983
831,ENSG00000140983.13,RHOT2,chr16,+,668352,668569,668352,668411,668655,668699,831,176,1,,,150,75,,,0.989,,,ENSG00000140983
990,ENSG00000108799.12,EZH1,chr17,-,42727634,42727763,42727661,42727763,42722794,42722915,990,25,5,,,102,75,,,0.786,,,ENSG00000108799
991,ENSG00000108799.12,EZH1,chr17,-,42727634,42727763,42727661,42727763,42724304,42724424,991,66,2,,,102,75,,,0.96,,,ENSG00000108799
1326,ENSG00000076108.11,BAZ2A,chr12,-,56601179,56601402,56601245,56601402,56600942,56601098,1326,290,0,,,141,75,,,1,,,ENSG00000076108
1327,ENSG00000076108.11,BAZ2A,chr12,-,56615013,56615607,56615218,56615607,56613952,56614138,1327,160,2,,,150,75,,,0.976,,,ENSG00000076108
1592,ENSG00000131626.16,PPFIA1,chr11,+,70338373,70338453,70338373,70338434,70339170,70339306,1592,49,5,,,94,75,,,0.887,,,ENSG00000131626
1593,ENSG00000131626.16,PPFIA1,chr11,+,70339170,70339311,70339170,70339306,70343668,70343892,1593,0,30,,,80,75,,,0,,,ENSG00000131626
2041,ENSG00000143748.17,NVL,chr1,-,224313033,224313151,224313049,224313151,224311799,224311857,2041,1,0,,,91,75,,,1,,,ENSG00000143748
2841,ENSG00000076944.15,STXBP2,chr19,+,7647161,7647511,7647161,7647247,7647724,7647873,2841,98,0,,,150,75,,,1,,,ENSG00000076944
4522,ENSG00000118900.14,UBN1,chr16,+,4860663,4861102,4860663,4860953,4868832,4868903,4522,62,0,,,150,75,,,1,,,ENSG00000118900
4593,ENSG00000140553.17,UNC45A,chr15,+,90934943,90935330,90934943,90935100,90935543,90935705,4593,34,0,,,150,75,,,1,,,ENSG00000140553
4594,ENSG00000140553.17,UNC45A,chr15,+,90935284,90935375,90935284,90935330,90935543,90935705,4594,36,33,,,120,75,,,0.405,,,ENSG00000140553
4626,ENSG00000086848.14,ALG9,chr11,-,111870227,111870370,111870231,111870370,111868601,111868736,4626,2,42,,,79,75,,,0.043,,,ENSG00000086848
