ID,GeneID,geneSymbol,chr,strand,exonStart_0base,exonEnd,upstreamES,upstreamEE,downstreamES,downstreamEE,ID,IJC_SAMPLE_1,SJC_SAMPLE_1,IJC_SAMPLE_2,SJC_SAMPLE_2,IncFormLen,SkipFormLen,PValue,FDR,IncLevel1,IncLevel2,IncLevelDifference,gene
141,ENSG00000269556.7,TMEM185A,chrX,-,149603986,149604070,149600302,149600479,149608626,149608834,141,67,1,,,150,75,,,0.971,,,ENSG00000269556
142,ENSG00000269556.7,TMEM185A,chrX,-,149608626,149608834,149603708,149604070,149611286,149611463,142,81,2,,,150,75,,,0.953,,,ENSG00000269556
143,ENSG00000269556.7,TMEM185A,chrX,-,149611286,149611463,149608626,149608829,149631542,149631698,143,37,1,,,150,75,,,0.949,,,ENSG00000269556
144,ENSG00000269556.7,TMEM185A,chrX,-,149611286,149611463,149608626,149608834,149631542,149631698,144,73,0,,,150,75,,,1,,,ENSG00000269556
938,ENSG00000100109.16,TFIP11,chr22,-,26510616,26510667,26510063,26510281,26512098,26512175,938,9,0,,,126,75,,,1,,,ENSG00000100109
939,ENSG00000100109.16,TFIP11,chr22,-,26510616,26510692,26510063,26510281,26512098,26512175,939,11,0,,,150,75,,,1,,,ENSG00000100109
940,ENSG00000100109.16,TFIP11,chr22,-,26510616,26510702,26510063,26510281,26512098,26512175,940,16,0,,,150,75,,,1,,,ENSG00000100109
941,ENSG00000100109.16,TFIP11,chr22,-,26511118,26511153,26510616,26510702,26512098,26512175,941,1,5,,,110,75,,,0.12,,,ENSG00000100109
942,ENSG00000100109.16,TFIP11,chr22,-,26511118,26511195,26510616,26510667,26512098,26512175,942,0,1,,,150,75,,,0,,,ENSG00000100109
943,ENSG00000100109.16,TFIP11,chr22,-,26511118,26511195,26510616,26510702,26512098,26512175,943,3,5,,,150,75,,,0.231,,,ENSG00000100109
944,ENSG00000100109.16,TFIP11,chr22,-,26511118,26511317,26510616,26510702,26512098,26512175,944,3,5,,,150,75,,,0.231,,,ENSG00000100109
966,ENSG00000100058.12,CRYBB2P1,chr22,+,25455711,25455840,25448104,25448284,25457258,25457401,966,39,2,,,150,75,,,0.907,,,ENSG00000100058
967,ENSG00000100058.12,CRYBB2P1,chr22,+,25519922,25520162,25459415,25459515,25520681,25520854,967,10,7,,,150,75,,,0.417,,,ENSG00000100058
1412,ENSG00000125520.13,SLC2A4RG,chr20,+,63741868,63742056,63741369,63741479,63742129,63742166,1412,1246,22,,,150,75,,,0.966,,,ENSG00000125520
1655,ENSG00000101052.12,IFT52,chr20,+,43618242,43618353,43613898,43613976,43618939,43619026,1655,8,111,,,150,75,,,0.035,,,ENSG00000101052
1656,ENSG00000101052.12,IFT52,chr20,+,43642478,43642624,43637144,43637253,43646935,43647222,1656,340,5,,,150,75,,,0.971,,,ENSG00000101052
1844,ENSG00000101391.20,CDK5RAP1,chr20,-,33360350,33360491,33358838,33359123,33366858,33367005,1844,132,1,,,150,75,,,0.985,,,ENSG00000101391
1845,ENSG00000101391.20,CDK5RAP1,chr20,-,33372641,33372697,33370498,33370629,33374114,33374212,1845,59,1,,,131,75,,,0.971,,,ENSG00000101391
1846,ENSG00000101391.20,CDK5RAP1,chr20,-,33374114,33374212,33370498,33370629,33385649,33385770,1846,1,0,,,150,75,,,1,,,ENSG00000101391
1847,ENSG00000101391.20,CDK5RAP1,chr20,-,33374114,33374212,33372641,33372697,33379460,33379691,1847,57,1,,,150,75,,,0.966,,,ENSG00000101391
1848,ENSG00000101391.20,CDK5RAP1,chr20,-,33379460,33379691,33372641,33372697,33401427,33401478,1848,1,0,,,150,75,,,1,,,ENSG00000101391
1849,ENSG00000101391.20,CDK5RAP1,chr20,-,33379460,33379691,33374114,33374212,33385649,33385770,1849,58,0,,,150,75,,,1,,,ENSG00000101391
1850,ENSG00000101391.20,CDK5RAP1,chr20,-,33383479,33383521,33379460,33379691,33385649,33385770,1850,0,24,,,117,75,,,0,,,ENSG00000101391
1851,ENSG00000101391.20,CDK5RAP1,chr20,-,33387322,33387533,33385649,33385770,33392141,33392242,1851,55,3,,,150,75,,,0.902,,,ENSG00000101391
1852,ENSG00000101391.20,CDK5RAP1,chr20,-,33394031,33394066,33392141,33392242,33401427,33401479,1852,15,0,,,110,75,,,1,,,ENSG00000101391
1853,ENSG00000101391.20,CDK5RAP1,chr20,-,33395012,33395116,33394031,33394066,33401427,33401505,1853,23,0,,,150,75,,,1,,,ENSG00000101391
1854,ENSG00000101391.20,CDK5RAP1,chr20,-,33396760,33396936,33395012,33395116,33401427,33401517,1854,17,0,,,150,75,,,1,,,ENSG00000101391
1855,ENSG00000101391.20,CDK5RAP1,chr20,-,33396760,33397084,33395012,33395116,33401427,33401561,1855,26,0,,,150,75,,,1,,,ENSG00000101391
4687,ENSG00000105426.16,PTPRS,chr19,-,5208236,5208391,5207921,5208057,5210468,5210594,4687,250,1,,,150,75,,,0.992,,,ENSG00000105426
4688,ENSG00000105426.16,PTPRS,chr19,-,5216719,5216767,5215497,5215595,5218419,5218532,4688,80,56,,,123,75,,,0.466,,,ENSG00000105426
4689,ENSG00000105426.16,PTPRS,chr19,-,5218786,5218798,5218419,5218532,5219309,5219467,4689,117,5,,,87,75,,,0.953,,,ENSG00000105426
