ID,GeneID,geneSymbol,chr,strand,riExonStart_0base,riExonEnd,upstreamES,upstreamEE,downstreamES,downstreamEE,ID,IJC_SAMPLE_1,SJC_SAMPLE_1,IJC_SAMPLE_2,SJC_SAMPLE_2,IncFormLen,SkipFormLen,PValue,FDR,IncLevel1,IncLevel2,IncLevelDifference,gene
30,ENSG00000269556.7,TMEM185A,chrX,-,149596556,149598255,149596556,149597182,149597260,149598255,30,55,0,,,150,75,,,1,,,ENSG00000269556
198,ENSG00000125520.13,SLC2A4RG,chr20,+,63741868,63742230,63741868,63742056,63742129,63742230,198,26,658,,,148,75,,,0.02,,,ENSG00000125520
707,ENSG00000105426.16,PTPRS,chr19,-,5218419,5219467,5218419,5218532,5219309,5219467,707,35,5,,,150,75,,,0.778,,,ENSG00000105426
977,ENSG00000213024.11,NUP62,chr19,-,49908104,49909884,49908104,49908745,49908973,49909884,977,68,1,,,150,75,,,0.971,,,ENSG00000213024
978,ENSG00000213024.11,NUP62,chr19,-,49927693,49929504,49927693,49927815,49929325,49929504,978,76,2,,,150,75,,,0.95,,,ENSG00000213024
979,ENSG00000213024.11,NUP62,chr19,-,49927693,49929504,49927693,49927848,49929325,49929504,979,71,4,,,150,75,,,0.899,,,ENSG00000213024
980,ENSG00000213024.11,NUP62,chr19,-,49927693,49929504,49927693,49927815,49929416,49929504,980,31,2,,,150,75,,,0.886,,,ENSG00000213024
1045,ENSG00000090905.18,TNRC6A,chr16,+,24805013,24805733,24805013,24805151,24805604,24805733,1045,1,38,,,150,75,,,0.013,,,ENSG00000090905
1046,ENSG00000090905.18,TNRC6A,chr16,+,24805013,24805733,24805013,24805151,24805673,24805733,1046,53,1,,,150,75,,,0.964,,,ENSG00000090905
1126,ENSG00000140983.13,RHOT2,chr16,+,668352,668569,668352,668411,668487,668569,1126,25,111,,,150,75,,,0.101,,,ENSG00000140983
1127,ENSG00000140983.13,RHOT2,chr16,+,668352,668699,668352,668411,668655,668699,1127,33,8,,,150,75,,,0.673,,,ENSG00000140983
1128,ENSG00000140983.13,RHOT2,chr16,+,668352,668699,668352,668569,668655,668699,1128,52,139,,,150,75,,,0.158,,,ENSG00000140983
