ID,GeneID,geneSymbol,chr,strand,1stExonStart_0base,1stExonEnd,2ndExonStart_0base,2ndExonEnd,upstreamES,upstreamEE,downstreamES,downstreamEE,ID,IJC_SAMPLE_1,SJC_SAMPLE_1,IJC_SAMPLE_2,SJC_SAMPLE_2,IncFormLen,SkipFormLen,PValue,FDR,IncLevel1,IncLevel2,IncLevelDifference,gene
145,ENSG00000101391.20,CDK5RAP1,chr20,-,33372641,33372697,33374114,33374212,33370498,33370629,33379460,33379691,145,35,37,,,150,131,,,0.452,,,ENSG00000101391
146,ENSG00000101391.20,CDK5RAP1,chr20,-,33374114,33374212,33379460,33379691,33372641,33372697,33385649,33385770,146,25,23,,,150,150,,,0.521,,,ENSG00000101391
476,ENSG00000090905.18,TNRC6A,chr16,+,24815146,24815305,24815354,24815475,24809349,24809481,24816815,24816956,476,87,4,,,150,150,,,0.956,,,ENSG00000090905
591,ENSG00000108799.12,EZH1,chr17,-,42722794,42722915,42724304,42724424,42720272,42720449,42727634,42727763,591,65,117,,,150,150,,,0.357,,,ENSG00000108799
592,ENSG00000108799.12,EZH1,chr17,-,42722794,42722915,42727634,42727763,42720272,42720449,42728824,42728952,592,81,104,,,150,150,,,0.438,,,ENSG00000108799
976,ENSG00000131626.16,PPFIA1,chr11,+,70349922,70350039,70350993,70351023,70348188,70348420,70354300,70354452,976,5,0,,,150,105,,,1,,,ENSG00000131626
1229,ENSG00000143748.17,NVL,chr1,-,224232088,224232182,224232894,224232972,224231225,224231296,224233200,224233289,1229,0,0,,,150,150,,,,,,ENSG00000143748
1670,ENSG00000116171.17,SCP2,chr1,+,52941795,52941853,52948008,52948080,52927285,52927465,52950754,52950886,1670,28,50,,,133,147,,,0.382,,,ENSG00000116171
1671,ENSG00000116171.17,SCP2,chr1,+,52948008,52948080,52950754,52950886,52941795,52941853,52954739,52954804,1671,72,61,,,147,150,,,0.546,,,ENSG00000116171
1672,ENSG00000116171.17,SCP2,chr1,+,53027968,53028071,53038916,53039046,53014965,53015043,53047857,53047937,1672,237,271,,,150,150,,,0.467,,,ENSG00000116171
2466,ENSG00000087903.12,RFX2,chr19,-,6042043,6042123,6044192,6044282,6039979,6040241,6047406,6047504,2466,4,7,,,150,150,,,0.364,,,ENSG00000087903
3000,ENSG00000095794.19,CREM,chr10,+,35188199,35188388,35201450,35201486,35179133,35179276,35206894,35207051,3000,15,1,,,150,111,,,0.917,,,ENSG00000095794
3061,ENSG00000086848.14,ALG9,chr11,-,111853648,111853736,111857601,111857737,111853379,111853485,111860546,111860635,3061,18,38,,,150,150,,,0.321,,,ENSG00000086848
3591,ENSG00000132256.18,TRIM5,chr11,-,5665980,5666081,5667688,5667711,5665655,5665682,5678203,5678434,3591,8,13,,,98,150,,,0.485,,,ENSG00000132256
