ID,GeneID,geneSymbol,chr,strand,longExonStart_0base,longExonEnd,shortES,shortEE,flankingES,flankingEE,ID,IJC_SAMPLE_1,SJC_SAMPLE_1,IJC_SAMPLE_2,SJC_SAMPLE_2,IncFormLen,SkipFormLen,PValue,FDR,IncLevel1,IncLevel2,IncLevelDifference,gene
157,ENSG00000125520.13,SLC2A4RG,chr20,+,63742335,63742615,63742335,63742364,63742698,63742790,157,922,3,,,150,75,,,0.994,,,ENSG00000125520
837,ENSG00000140983.13,RHOT2,chr16,+,668104,668236,668104,668154,668352,668411,837,122,4,,,150,75,,,0.938,,,ENSG00000140983
838,ENSG00000140983.13,RHOT2,chr16,+,668352,668569,668352,668411,668655,668699,838,149,8,,,150,75,,,0.903,,,ENSG00000140983
839,ENSG00000140983.13,RHOT2,chr16,+,672253,672566,672253,672384,672702,672825,839,218,3,,,150,75,,,0.973,,,ENSG00000140983
1000,ENSG00000108799.12,EZH1,chr17,-,42727634,42727763,42727661,42727763,42722794,42722915,1000,38,1,,,102,75,,,0.965,,,ENSG00000108799
1001,ENSG00000108799.12,EZH1,chr17,-,42727634,42727763,42727661,42727763,42724304,42724424,1001,90,4,,,102,75,,,0.943,,,ENSG00000108799
1336,ENSG00000076108.11,BAZ2A,chr12,-,56601179,56601402,56601245,56601402,56600942,56601098,1336,124,0,,,141,75,,,1,,,ENSG00000076108
1606,ENSG00000131626.16,PPFIA1,chr11,+,70338373,70338453,70338373,70338434,70339170,70339306,1606,24,0,,,94,75,,,1,,,ENSG00000131626
1607,ENSG00000131626.16,PPFIA1,chr11,+,70339170,70339311,70339170,70339306,70343668,70343892,1607,0,21,,,80,75,,,0,,,ENSG00000131626
2064,ENSG00000143748.17,NVL,chr1,-,224313033,224313151,224313049,224313151,224311799,224311857,2064,2,0,,,91,75,,,1,,,ENSG00000143748
2864,ENSG00000076944.15,STXBP2,chr19,+,7647161,7647511,7647161,7647247,7647724,7647873,2864,14,0,,,150,75,,,1,,,ENSG00000076944
4549,ENSG00000118900.14,UBN1,chr16,+,4860663,4861102,4860663,4860953,4868832,4868903,4549,16,1,,,150,75,,,0.889,,,ENSG00000118900
4619,ENSG00000140553.17,UNC45A,chr15,+,90934943,90935330,90934943,90935100,90935543,90935705,4619,26,0,,,150,75,,,1,,,ENSG00000140553
4620,ENSG00000140553.17,UNC45A,chr15,+,90935284,90935375,90935284,90935330,90935543,90935705,4620,14,26,,,120,75,,,0.252,,,ENSG00000140553
4652,ENSG00000086848.14,ALG9,chr11,-,111870227,111870370,111870231,111870370,111868601,111868736,4652,3,33,,,79,75,,,0.079,,,ENSG00000086848
