ID,GeneID,geneSymbol,chr,strand,longExonStart_0base,longExonEnd,shortES,shortEE,flankingES,flankingEE,ID,IJC_SAMPLE_1,SJC_SAMPLE_1,IJC_SAMPLE_2,SJC_SAMPLE_2,IncFormLen,SkipFormLen,PValue,FDR,IncLevel1,IncLevel2,IncLevelDifference,gene
28,ENSG00000269556.7,TMEM185A,chrX,-,149608626,149608834,149608626,149608829,149611286,149611463,28,45,1,,,80,75,,,0.977,,,ENSG00000269556
172,ENSG00000100109.16,TFIP11,chr22,-,26501899,26502094,26501899,26502052,26503665,26503793,172,0,18,,,117,75,,,0,,,ENSG00000100109
173,ENSG00000100109.16,TFIP11,chr22,-,26510616,26510702,26510616,26510667,26511118,26511195,173,10,0,,,110,75,,,1,,,ENSG00000100109
174,ENSG00000100109.16,TFIP11,chr22,-,26510616,26510692,26510616,26510667,26512098,26512175,174,4,1,,,100,75,,,0.75,,,ENSG00000100109
175,ENSG00000100109.16,TFIP11,chr22,-,26510616,26510702,26510616,26510667,26512098,26512175,175,12,1,,,110,75,,,0.891,,,ENSG00000100109
176,ENSG00000100109.16,TFIP11,chr22,-,26510616,26510702,26510616,26510692,26512098,26512175,176,8,0,,,85,75,,,1,,,ENSG00000100109
177,ENSG00000100109.16,TFIP11,chr22,-,26511118,26511195,26511118,26511153,26512098,26512175,177,2,0,,,117,75,,,1,,,ENSG00000100109
178,ENSG00000100109.16,TFIP11,chr22,-,26511118,26511317,26511118,26511153,26512098,26512175,178,3,0,,,150,75,,,1,,,ENSG00000100109
179,ENSG00000100109.16,TFIP11,chr22,-,26511118,26511317,26511118,26511195,26512098,26512175,179,3,0,,,150,75,,,1,,,ENSG00000100109
341,ENSG00000101391.20,CDK5RAP1,chr20,-,33366858,33367008,33366858,33367005,33370498,33370629,341,66,4,,,78,75,,,0.941,,,ENSG00000101391
1320,ENSG00000213024.11,NUP62,chr19,-,49911104,49911366,49911104,49911343,49927693,49927815,1320,0,0,,,98,75,,,,,,ENSG00000213024
1321,ENSG00000213024.11,NUP62,chr19,-,49911104,49911366,49911104,49911231,49927693,49927848,1321,0,0,,,150,75,,,,,,ENSG00000213024
1322,ENSG00000213024.11,NUP62,chr19,-,49927693,49927848,49927693,49927815,49929325,49929465,1322,10,2,,,108,75,,,0.776,,,ENSG00000213024
1379,ENSG00000090905.18,TNRC6A,chr16,+,24805604,24805733,24805673,24805733,24805013,24805151,1379,91,1,,,144,75,,,0.979,,,ENSG00000090905
1466,ENSG00000140983.13,RHOT2,chr16,+,668352,668411,668357,668411,668104,668154,1466,6,1,,,80,75,,,0.849,,,ENSG00000140983
1467,ENSG00000140983.13,RHOT2,chr16,+,668352,668411,668357,668411,668150,668236,1467,92,7,,,80,75,,,0.925,,,ENSG00000140983
1468,ENSG00000140983.13,RHOT2,chr16,+,668487,668699,668655,668699,668352,668411,1468,134,8,,,150,75,,,0.893,,,ENSG00000140983
1469,ENSG00000140983.13,RHOT2,chr16,+,668487,668699,668658,668699,668352,668411,1469,135,0,,,150,75,,,1,,,ENSG00000140983
1470,ENSG00000140983.13,RHOT2,chr16,+,668655,668699,668658,668699,668352,668411,1470,9,0,,,78,75,,,1,,,ENSG00000140983
1471,ENSG00000140983.13,RHOT2,chr16,+,668655,668699,668658,668699,668487,668569,1471,140,4,,,78,75,,,0.971,,,ENSG00000140983
1472,ENSG00000140983.13,RHOT2,chr16,+,670248,670357,670265,670357,670122,670175,1472,148,28,,,92,75,,,0.812,,,ENSG00000140983
1473,ENSG00000140983.13,RHOT2,chr16,+,670888,671000,670891,671000,670674,670773,1473,14,143,,,78,75,,,0.086,,,ENSG00000140983
1474,ENSG00000140983.13,RHOT2,chr16,+,671082,671203,671114,671203,670891,671000,1474,144,15,,,107,75,,,0.871,,,ENSG00000140983
1693,ENSG00000103994.16,ZNF106,chr15,-,42439032,42439813,42439032,42439552,42442072,42442414,1693,30,1,,,150,75,,,0.938,,,ENSG00000103994
1761,ENSG00000108799.12,EZH1,chr17,-,42706006,42706185,42706006,42706113,42707957,42708083,1761,189,1,,,147,75,,,0.99,,,ENSG00000108799
2274,ENSG00000076108.11,BAZ2A,chr12,-,56600942,56601098,56600942,56601086,56601179,56601402,2274,68,1,,,87,75,,,0.983,,,ENSG00000076108
